,AUC1,AUC2,AUC3,AUC4,AUC5
0,0.845371972318339,0.8325907774560035,0.8098685676097127,0.8222321229672532,0.8224548897304522
1,0.8712153979238753,0.8394965471151704,0.8451770995767431,0.7931610603697928,0.7999554466473602
2,0.8720804498269896,0.8266874582312319,0.8390510135887725,0.7951659612385831,0.8278012920472265
3,0.8581314878892734,0.830028959679216,0.8077522833593229,0.7858097571842281,0.7921586099353977
4,0.867863321799308,0.8515259523279126,0.8462909333927378,0.7970594787257741,0.8217865894408554
5,0.8557525951557093,0.8319224771664068,0.856649587881488,0.8066384495433281,0.7962797950545778
6,0.8652681660899653,0.8410559144575629,0.8529739362887058,0.820004455335264,0.8070839830697261
7,0.8407223183391004,0.8252394742704389,0.8525284027623079,0.8246825573624416,0.7889284918690131
8,0.8739186851211074,0.8411672978391624,0.8276899086656271,0.8130986856760971,0.7973936288705725
9,0.8546712802768166,0.8322566273112051,0.8329249276008022,0.7807975050122522,0.8097571842281133
