,gen,nEval,Avg Fitness,Avg Min,Avg Max
0,0.0,1000.0,0.13369518450082166,0.008783410437587732,0.4491001305035903
1,1.0,500.0,0.1705465095772932,0.020365872973693445,0.4809981668758773
2,2.0,497.4,0.21119456041717283,0.014804702262849584,0.4896603848632707
3,3.0,504.2,0.25631622678647353,0.0154773767766035,0.4996206105830229
4,4.0,497.2,0.2877986813242782,0.01409709252004373,0.5109393928082147
5,5.0,491.4,0.31002269915189534,0.013647574295095024,0.5201563881380926
6,6.0,508.6,0.32948643152821655,0.014622054178814384,0.5331560525996113
7,7.0,497.8,0.34031435367611823,0.016004331420068026,0.5436668798843942
8,8.0,512.6,0.3510042879803831,0.011866557759016306,0.5495482989822913
9,9.0,513.4,0.3591626686181045,0.012489006949505993,0.5459987457904789
10,10.0,502.6,0.37043394912869665,0.011983147363608143,0.5495309948136
11,11.0,520.6,0.3742873527511203,0.012371821558484505,0.5543158241719306
12,12.0,505.8,0.383340560612886,0.01587554137478404,0.5618185890427598
13,13.0,509.6,0.3879450431518093,0.012690335310711582,0.5641132209332145
14,14.0,511.0,0.39324458275652774,0.015404638107723249,0.5690653028324425
15,15.0,512.2,0.40080711278838177,0.011683071356022567,0.5702658441228674
16,16.0,508.0,0.4006638140043344,0.012454588420189506,0.5751556373417422
17,17.0,507.4,0.4095671383028037,0.012889185622165528,0.5713953971965771
18,18.0,504.0,0.4129623008280693,0.011044741557337224,0.5726399106889779
19,19.0,497.2,0.42212689921950924,0.014729764983870533,0.5787302451982776
20,20.0,504.8,0.4199822329157977,0.011022207121936075,0.5824549912350854
21,21.0,500.2,0.42480412316371235,0.01597059830876795,0.5799836480351068
22,22.0,509.0,0.4289032953316495,0.017142752748420798,0.58626856744682
23,23.0,512.6,0.430751051099073,0.017117603179664726,0.589948803492131
24,24.0,489.8,0.4327097428796667,0.014249028604497352,0.5899576928365592
25,25.0,497.0,0.4370597710398023,0.02411180369965447,0.5912022063289601
26,26.0,518.2,0.43155071741649287,0.023092481660322857,0.5924645301448953
27,27.0,513.2,0.43451077473958327,0.018900175087396064,0.5899576928365592
28,28.0,521.0,0.4297814947205941,0.026868460057634165,0.5837349672011662
29,29.0,531.2,0.4358085057634165,0.017074796188316598,0.5837349672011662
30,30.0,503.2,0.437598564787398,0.019109596653641613,0.5837349672011662
31,31.0,485.4,0.4442537075209548,0.03264758315280477,0.5837349672011662
32,32.0,504.4,0.44016379673180034,0.031143206600596596,0.5837349672011662
33,33.0,506.0,0.4438533330770925,0.026422616727742675,0.5874952073463314
34,34.0,526.6,0.4394612787749028,0.03316136722546161,0.5874952073463314
35,35.0,504.0,0.44480761998189655,0.015559331681581365,0.5913090682701652
36,36.0,493.0,0.4470062499420031,0.0122483619563897,0.5874952073463314
37,37.0,498.6,0.4452403939877662,0.020601862396744414,0.5888381046863189
38,38.0,502.2,0.4440798424202891,0.03129778418063654,0.5888381046863189
39,39.0,501.6,0.4439086126833546,0.03110716415782583,0.5888381046863189
40,40.0,512.6,0.44384567025129745,0.01275001940260231,0.5888381046863189
41,41.0,521.8,0.44535128579147437,0.027850584988459676,0.5888381046863189
42,42.0,524.8,0.440122028064388,0.02106039123238581,0.5888381046863189
43,43.0,492.2,0.4485972182415253,0.019727933336032833,0.5913627523181891
44,44.0,515.0,0.44530858888880454,0.04679593966802992,0.5901004285022541
45,45.0,492.0,0.4482028656905471,0.037730753883894824,0.5901004285022541
46,46.0,515.8,0.44793341262565295,0.03180604800203811,0.5901004285022541
47,47.0,490.4,0.45400568989748685,0.029587223344198787,0.5913627523181891
48,48.0,512.2,0.45038338760789537,0.04034861309355091,0.5913627523181891
49,49.0,493.6,0.44945240237960266,0.026260974069687394,0.5913627523181891
50,50.0,491.4,0.45655781855804084,0.06426612187533745,0.5913627523181891
51,51.0,486.8,0.4509738009297221,0.015764366572521865,0.5913627523181891
52,52.0,497.2,0.4508894227082574,0.03548770233539844,0.5939684796289548
53,53.0,506.2,0.4521236177754832,0.027611859165789333,0.5939684796289548
54,54.0,504.8,0.44937530958222816,0.037811153417220064,0.5913627523181891
55,55.0,520.0,0.44247415901318365,0.035234835811804886,0.5913627523181891
56,56.0,527.6,0.4452125651358013,0.027559609223153547,0.5913627523181891
57,57.0,497.0,0.4514331801213169,0.018750015817338837,0.5952849936477567
58,58.0,496.6,0.4518063926882137,0.03502918931709588,0.5952849936477567
59,59.0,496.8,0.4553108952571604,0.028942324077448435,0.5926610763973248
