,AUC1,AUC2,AUC3,AUC4,AUC5
<<<<<<< HEAD
0,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
1,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
2,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
3,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
4,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
5,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
6,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
7,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
8,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
9,0.8908953287197231,0.8790376475829808,0.8843840498997549,0.8676765426598352,0.8536422365783025
=======
0,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
1,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
2,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
3,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
4,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
5,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
6,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
7,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
8,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
9,0.8908953287197232,0.8789262642013812,0.8846068166629539,0.8676765426598352,0.853753619959902
>>>>>>> 327ec7b5465579a9ad00126aa23b903eb6e86750
