,AUC1,AUC2,AUC3,AUC4,AUC5
0,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
1,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
2,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
3,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
4,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
5,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
6,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
7,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
8,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
9,0.8769463667820069,0.8837157496101581,0.8990866562708845,0.8959679215860994,0.865003341501448
