,gen,nEval,Avg Fitness,Avg Min,Avg Max
0,0.0,1000.0,0.13429476464010703,0.01361109423928301,0.4505852257197522
1,1.0,611.6,0.16947822555609546,0.020737000467349637,0.461000521550386
2,2.0,601.4,0.20751836909739096,0.01704286625364431,0.49198336142492705
3,3.0,605.6,0.24642652599358197,0.016386794673226436,0.5032607022223572
4,4.0,613.8,0.2732504254864148,0.013358512427788575,0.5178412253418233
5,5.0,596.6,0.291802703894988,0.014314939455444878,0.5167264456625904
6,6.0,593.0,0.30696680404552695,0.01316052679752457,0.5283953288656732
7,7.0,608.4,0.31478691704670464,0.01176900168549563,0.5412225210644774
8,8.0,595.4,0.3269762918495151,0.012398695217174172,0.5424403665235935
9,9.0,595.4,0.33619020663138766,0.013096967457617967,0.5483563939588731
10,10.0,613.2,0.33886848293477867,0.011822469563222113,0.5567082704857735
11,11.0,600.2,0.3488139914010619,0.011479180585924845,0.5652699481950518
12,12.0,611.4,0.35226639646961216,0.010768465372260012,0.5603975856835789
13,13.0,614.6,0.3603023270732524,0.009029507140157652,0.5652611853893343
14,14.0,607.6,0.3660468185426452,0.009695786176573804,0.5701862196391454
15,15.0,605.2,0.36463924458393226,0.010371012554327286,0.577600312508436
16,16.0,611.8,0.37465548266398574,0.010876524158770651,0.5726488000334062
17,17.0,605.4,0.3768300571986607,0.015964714258719363,0.575111285523634
18,18.0,592.0,0.38327087829148276,0.009519196133314436,0.5763736093395692
19,19.0,610.2,0.3742464084623184,0.009145653859261957,0.5763736093395692
20,20.0,613.4,0.37893820683996565,0.010608794609113487,0.5750584239772298
21,21.0,604.2,0.38790452530900754,0.007906122828595725,0.5874419978184726
22,22.0,596.4,0.39025982783986607,0.00848761038393532,0.5826228764695363
23,23.0,608.8,0.39797712262887547,0.01184127637910323,0.5851386031223005
24,24.0,608.0,0.3970132703149464,0.00795964870323129,0.5874775551961856
25,25.0,585.4,0.40344857119342026,0.012176561782947305,0.5888376301661538
26,26.0,593.6,0.40111885494804317,0.011458449327151496,0.5888376301661538
27,27.0,583.0,0.4060043499263545,0.010012180405396283,0.5888376301661538
28,28.0,598.8,0.40626651601178665,0.008907028213070942,0.5937626644159648
29,29.0,608.4,0.40260013877605855,0.008188420147324802,0.5937626644159648
30,30.0,609.2,0.41015493848426027,0.00906438964474679,0.5937626644159648
31,31.0,609.2,0.40541046691835214,0.00878375314659594,0.5963497589015765
32,32.0,612.0,0.4024225958330381,0.007683303976352444,0.598803070335277
33,33.0,614.2,0.40650163125269945,0.009171504663373286,0.5975317939055582
34,34.0,605.2,0.4088060415116567,0.009295939668029912,0.5962694700896233
35,35.0,594.8,0.41016307790229184,0.022878241078177305,0.5975317939055582
36,36.0,610.8,0.4062390056577566,0.008377885504400173,0.5987941177214934
37,37.0,605.0,0.40830278141049325,0.010969161039911995,0.5975317939055582
38,38.0,588.6,0.4155273630260636,0.008557544111394559,0.5975317939055582
39,39.0,606.6,0.41248841378875467,0.010727487919771083,0.596278391068729
40,40.0,597.0,0.41215828569678115,0.008034955053449953,0.596278391068729
41,41.0,590.0,0.41860147332711606,0.009326841475677571,0.596278391068729
42,42.0,600.0,0.41782061465862375,0.00883893984180974,0.596278391068729
43,43.0,600.6,0.4162512080334365,0.02662180447575856,0.595016067252794
44,44.0,592.8,0.4207407315139598,0.007778856520286687,0.595016067252794
45,45.0,589.8,0.4148486121445106,0.008939237587396068,0.6000653941512122
46,46.0,597.0,0.4180943380464785,0.01032670291578933,0.6013277179671472
47,47.0,589.4,0.42421511595058403,0.00981762186521434,0.6026079786453271
48,48.0,612.2,0.4173220515373188,0.008522065820375768,0.6051595157532259
49,49.0,612.0,0.4170545241174346,0.007792353982763742,0.6077110528611246
50,50.0,578.0,0.4272658830967903,0.011843791335978834,0.6051595157532259
51,51.0,596.4,0.42491457577264535,0.010600696131627254,0.6051595157532259
52,52.0,620.2,0.42187368357561283,0.013265627741672068,0.6051595157532259
53,53.0,586.4,0.4292750081195672,0.01361421552748083,0.6051595157532259
54,54.0,609.8,0.42701500015184646,0.00825564383739607,0.6013456548293921
55,55.0,592.6,0.42482280680470347,0.009407546810887055,0.6051955792857817
56,56.0,620.4,0.4242226350178588,0.008999617642195767,0.6039332554698467
57,57.0,600.6,0.4314379521069961,0.010016303458387322,0.6052045318995654
58,58.0,606.6,0.42489162726567564,0.00895884581511176,0.6052045318995654
59,59.0,602.2,0.42607298702218976,0.01117859842349638,0.6026169312591108
60,60.0,596.0,0.4292206965291697,0.008377136817028398,0.6026169312591108
61,61.0,602.2,0.42610035701842736,0.02400705600940773,0.6026169312591108
62,62.0,598.2,0.429438538882815,0.008295550983290139,0.6026169312591108
63,63.0,607.4,0.42820700336930406,0.007476529178139508,0.6026169312591108
64,64.0,605.4,0.4251712197825558,0.008223539911996546,0.6026169312591108
65,65.0,601.6,0.4303008005102463,0.029476797229308394,0.6026169312591108
66,66.0,611.0,0.43017738422657004,0.025004497396676928,0.6051505315047645
67,67.0,601.8,0.4309300530176108,0.026283877576328152,0.6026169312591108
68,68.0,602.0,0.43650162992931546,0.023232127672497573,0.6026169312591108
69,69.0,602.0,0.43583885155996915,0.02689259731670446,0.6026169312591108
70,70.0,598.4,0.4335700008931524,0.035392940658406216,0.6026169312591108
71,71.0,595.8,0.4371971642622203,0.020210372715554474,0.6026169312591108
72,72.0,601.0,0.43497561900101067,0.014458508167651984,0.6026169312591108
73,73.0,606.8,0.43742371057053775,0.029366555650037797,0.6051505315047645
74,74.0,596.6,0.4390396390420007,0.026267532992859843,0.6051505315047645
75,75.0,610.4,0.4394937355376798,0.029153960071131628,0.6064398080660836
76,76.0,597.2,0.4380300983448315,0.02562897647898445,0.6090003610571213
77,77.0,596.2,0.44090089125959164,0.033717889747664945,0.6077110844958022
78,78.0,611.8,0.43999587680465285,0.029425796856440985,0.6038882076888294
79,79.0,591.6,0.4454011421753101,0.02804996781698791,0.6038882076888294
80,80.0,588.4,0.4449662033557222,0.02312814975940773,0.6038882076888294
81,81.0,587.6,0.44807667724424843,0.02494145475650578,0.6038882076888294
82,82.0,606.8,0.4463518725567483,0.011883292503509339,0.6038882076888294
83,83.0,609.8,0.4463097257178541,0.02756877273478836,0.6064218079344833
84,84.0,606.2,0.4461154797335601,0.022407780696604037,0.6077020686126633
85,85.0,616.6,0.4387605770650273,0.027853674641979808,0.6089913451739822
86,86.0,607.4,0.43948061405334704,0.029563745140913512,0.6077110844958022
87,87.0,615.0,0.44000064157762553,0.026501756146406975,0.6128682223757558
88,88.0,599.4,0.442483357454775,0.04120079331335709,0.6077110844958022
89,89.0,596.8,0.44134577339089154,0.014883108811480939,0.6077110844958022
90,90.0,588.8,0.44738356822608766,0.04423912484140481,0.6077110844958022
91,91.0,611.8,0.4426984514877999,0.03151064865430299,0.6077110844958022
92,92.0,583.6,0.4499792987519909,0.027314287570186807,0.6077110844958022
93,93.0,609.0,0.4493301933068614,0.025551076085195985,0.6077110844958022
94,94.0,602.8,0.4457287235333741,0.027130932978350075,0.6077110844958022
95,95.0,611.2,0.44453969086487516,0.029524924118953133,0.6077110844958022
96,96.0,603.6,0.44255630117436356,0.02296771976399687,0.6077110844958022
97,97.0,622.8,0.44024598238011714,0.028288857085492936,0.6102806217353013
98,98.0,587.6,0.4487112136707362,0.02693641661773837,0.6102806217353013
99,99.0,589.6,0.44894178842854104,0.026068682681405896,0.6102806217353013
100,100.0,607.8,0.44567700143115274,0.029621578604159916,0.6102806217353013
101,101.0,599.8,0.4455665233563043,0.026511531261810283,0.6167724003043678
102,102.0,604.4,0.4475857233226872,0.02481732028128712,0.6167724003043678
103,103.0,608.8,0.448178065822063,0.02737777836829176,0.6167724003043678
104,104.0,611.4,0.4408966871743737,0.01247618436015279,0.6167724003043678
105,105.0,593.4,0.4474932594357807,0.023788776733411614,0.6167724003043678
106,106.0,627.2,0.44560143324070706,0.027418576557607165,0.6128682223757558
107,107.0,585.8,0.44845434605637885,0.02617724235031314,0.6128682223757558
108,108.0,611.4,0.4495785599188212,0.030019527032042977,0.6128682223757558
109,109.0,591.0,0.44858114790962267,0.02554621488972574,0.6128682223757558
110,110.0,617.4,0.44545133090779715,0.028954561425264553,0.6128682223757558
111,111.0,614.6,0.44453211594657704,0.01591777894193392,0.6128682223757558
112,112.0,621.0,0.4424011316356899,0.026200636194457942,0.6141484830539359
113,113.0,586.6,0.4487651807911284,0.026086508822278913,0.6141484830539359
114,114.0,607.0,0.4479684010431429,0.026208128340621962,0.6141484830539359
115,115.0,582.6,0.45208393498272326,0.02014334410599557,0.6141484830539359
116,116.0,592.4,0.45106512964312706,0.027180225078622715,0.6141484830539359
117,117.0,601.2,0.453106834176503,0.025411176995599825,0.6141484830539359
118,118.0,587.8,0.45062562717857474,0.019963068622786413,0.6141484830539359
119,119.0,603.2,0.4466950583100924,0.028644030156705542,0.6141484830539359
120,120.0,602.8,0.4497742193194242,0.028150666268491532,0.6141484830539359
121,121.0,598.4,0.44983255594803645,0.02320035063876741,0.6154558862855659
122,122.0,613.4,0.4520456162719924,0.025989490538278804,0.6219838549258989
123,123.0,597.2,0.4525368394521127,0.028625428966229355,0.6180616135963314
124,124.0,609.4,0.45030508234822947,0.027389488471479862,0.6180616135963314
