,gen,nEval,Avg Fitness,Avg Min,Avg Max
0,0.0,100.0,0.142778084,0.019555600000000003,0.4788538
1,1.0,1.8,0.199718778,0.08484660000000001,0.4788538
2,2.0,2.2,0.278578804,0.08777159999999999,0.4788538
3,3.0,2.0,0.35920509,0.09408420000000002,0.4788538
4,4.0,2.2,0.42642258600000005,0.18121800000000002,0.4788538
5,5.0,1.6,0.46192215999999997,0.2512998,0.4788538
6,6.0,1.6,0.47350438199999995,0.2522116,0.4788538
7,7.0,3.0,0.47135282600000006,0.18453979999999998,0.4885264
8,8.0,1.2,0.476311836,0.1953084,0.4885264
9,9.0,1.4,0.475469756,0.23954980000000003,0.4885264
10,10.0,2.2,0.47708198600000007,0.15539920000000002,0.4885264
11,11.0,1.2,0.48213846999999993,0.281267,0.4885264
12,12.0,2.2,0.48384174,0.29000539999999997,0.4885264
13,13.0,0.8,0.48562836000000004,0.30691240000000003,0.4885264
14,14.0,1.0,0.487872018,0.39448380000000005,0.5260224
15,15.0,2.4,0.4863244480000001,0.276836,0.5322435999999999
16,16.0,2.0,0.48578340000000003,0.16310960000000002,0.5260224
17,17.0,2.2,0.48831975400000005,0.1496268,0.5260224
18,18.0,2.2,0.49439744399999996,0.1794588,0.5260224
19,19.0,1.4,0.5052631600000002,0.32496120000000006,0.5260224
20,20.0,1.4,0.510876254,0.12032119999999999,0.5260224
21,21.0,1.6,0.519738036,0.3161318000000001,0.5260224
22,22.0,1.6,0.520895582,0.35040180000000004,0.5260224
23,23.0,2.2,0.5207203579999999,0.21087000000000003,0.533896
24,24.0,0.8,0.523242868,0.3597658,0.533896
25,25.0,0.6,0.5257711979999999,0.3591773999999999,0.533896
26,26.0,1.4,0.524679584,0.28061100000000005,0.533896
27,27.0,0.8,0.530014468,0.31108840000000004,0.533896
28,28.0,3.4,0.5197877259999999,0.08676360000000001,0.533896
29,29.0,2.8,0.525328336,0.1449016,0.533896
30,30.0,1.4,0.531451422,0.4311986,0.533896
31,31.0,1.2,0.530074276,0.27957059999999995,0.5647138
32,32.0,2.4,0.5289743239999999,0.1553494,0.5647138
33,33.0,4.2,0.529709262,0.11911539999999998,0.572981
34,34.0,1.8,0.5476671879999999,0.2825116,0.572981
35,35.0,3.2,0.551543286,0.1488742,0.572981
36,36.0,2.0,0.559394704,0.24434679999999998,0.572981
37,37.0,1.8,0.5616375859999999,0.3048836,0.572981
38,38.0,1.6,0.5656156859999999,0.2731092,0.572981
39,39.0,1.6,0.566701946,0.29999899999999996,0.572981
40,40.0,1.6,0.567490108,0.22348459999999998,0.572981
41,41.0,2.6,0.5640850519999999,0.1909942,0.572981
42,42.0,2.2,0.567129196,0.1668942,0.572981
43,43.0,1.8,0.5664076779999999,0.1536098,0.572981
44,44.0,2.0,0.5684211299999999,0.3134246,0.572981
45,45.0,0.6,0.5708209999999999,0.4242578,0.572981
46,46.0,1.6,0.5677438679999999,0.3205562,0.572981
47,47.0,1.0,0.570452326,0.347864,0.572981
48,48.0,2.0,0.5674536339999999,0.3246962000000001,0.572981
49,49.0,1.6,0.5669955099999999,0.2557746,0.572981
50,50.0,2.6,0.5647143,0.22827720000000004,0.572981
