,gen,nEval,Avg Fitness,Avg Min,Avg Max
0,0.0,1000.0,0.1347127652356826,0.014561858659634488,0.45423803977196037
1,1.0,644.2,0.1922604936232926,0.016610235674130763,0.4785437798631357
2,2.0,634.8,0.2502663250965068,0.011909897267438721,0.4939949578541734
3,3.0,628.6,0.2848614924144261,0.01160623599638268,0.49956154863979324
4,4.0,631.2,0.299644269246327,0.014524687913359789,0.5120884961127309
5,5.0,632.4,0.3114145270077897,0.014472422153385161,0.5177901986067245
6,6.0,644.6,0.3156867356481904,0.011888206423442394,0.5223940459740445
7,7.0,631.6,0.3225117137675383,0.011659851502605007,0.5235599789270867
8,8.0,639.0,0.33010337098070874,0.01307317290755588,0.531808473327327
9,9.0,640.6,0.3317096470793178,0.01504760386297376,0.541265639130156
10,10.0,649.2,0.3316848482336884,0.013040093579594536,0.5412049638183647
11,11.0,641.2,0.3357593188326298,0.01213277938903736,0.5509061911594995
12,12.0,647.6,0.33563903319574356,0.012925692040208941,0.5655410890174524
13,13.0,643.8,0.3382938855704112,0.014746520818148687,0.5558312254093105
14,14.0,641.4,0.3463176592468585,0.010755906405220816,0.5558312254093105
15,15.0,636.2,0.3479707565348808,0.013348384058484503,0.5671139388295001
16,16.0,645.8,0.34901281400053824,0.012949855661510634,0.570689495726366
17,17.0,645.6,0.3512387887651339,0.012862638855145232,0.570689495726366
18,18.0,634.4,0.3579140068598744,0.011585889626187779,0.570689495726366
19,19.0,636.6,0.35463678272586313,0.014832635683241552,0.570689495726366
20,20.0,649.6,0.35069233669968486,0.010225002699492496,0.570689495726366
21,21.0,637.8,0.35389629109239185,0.01112583178112515,0.570689495726366
22,22.0,631.6,0.36063205865617576,0.01455391308309038,0.5731168034550129
23,23.0,631.6,0.358455007890743,0.010202035923496382,0.570689495726366
24,24.0,632.8,0.35989166079843393,0.011938879904640426,0.570689495726366
25,25.0,639.8,0.3600179248568847,0.009466487487852285,0.5793662920277237
26,26.0,644.8,0.35878432619296474,0.013342463101311952,0.5744764988088489
27,27.0,635.0,0.3585789493944279,0.014187541335978836,0.5744764988088489
28,28.0,645.2,0.3586431956919053,0.014893869874338625,0.5744764988088489
29,29.0,653.0,0.3541014842410798,0.014687400878009935,0.5744764988088489
30,30.0,631.6,0.36137738336188885,0.014482582157366914,0.5744764988088489
31,31.0,634.6,0.35811785545040187,0.012420618048806824,0.5744764988088489
32,32.0,634.8,0.3668571326233246,0.013179149077785876,0.5757033285164264
33,33.0,625.8,0.36577084451091946,0.011140541906246627,0.5757033285164264
34,34.0,632.2,0.365058186042274,0.0118080599675386,0.579571189835061
35,35.0,649.8,0.3590100038130331,0.011093469505857899,0.5757033285164264
36,36.0,638.0,0.35792294060357277,0.012085522453028833,0.5757033285164264
37,37.0,629.2,0.3670463094194151,0.013447811850434616,0.5757033285164264
38,38.0,647.2,0.3575722964424485,0.013470567728579528,0.5757033285164264
39,39.0,635.0,0.3620149084165536,0.012265207422254612,0.5757033285164264
40,40.0,640.6,0.36115851757896855,0.015138669555123638,0.5757033285164264
41,41.0,633.2,0.3642504691528149,0.014398934797133136,0.5757033285164264
42,42.0,653.2,0.35688525077968936,0.01440087505736421,0.5757033285164264
43,43.0,642.8,0.35986107260116346,0.012300522267438722,0.5757033285164264
44,44.0,635.6,0.3612101095361259,0.013464968390630064,0.5757033285164264
45,45.0,644.4,0.3573832502237627,0.010859156720724003,0.5780437990548402
46,46.0,628.4,0.36609378737109927,0.011203932527872263,0.5817773711667206
47,47.0,640.0,0.36185454869230677,0.014266506763915884,0.5817773711667206
48,48.0,648.8,0.35539871375509524,0.011082898251066297,0.5794369006283068
49,49.0,649.4,0.35631174583455655,0.014316046669163699,0.5794369006283068
50,50.0,637.4,0.36468995768756407,0.015038682883867832,0.5843533618804665
51,51.0,644.0,0.3599536227769257,0.012846995507032177,0.5843533618804665
52,52.0,651.4,0.36183593567046113,0.00991258389516521,0.5856336225586466
53,53.0,636.2,0.3626835124541508,0.01305900584440125,0.5856336225586466
54,54.0,629.6,0.3655623973296536,0.01174938818533366,0.5856336225586466
55,55.0,634.2,0.36653184544372064,0.010294351185414644,0.5856336225586466
56,56.0,649.6,0.36104049801840377,0.011941125966755749,0.5856336225586466
57,57.0,639.6,0.3618135948551047,0.011645241553962852,0.5856336225586466
58,58.0,648.2,0.3629124952231636,0.012690377490281828,0.5856336225586466
59,59.0,651.0,0.3603023126056598,0.011976883697427384,0.5856336225586466
60,60.0,626.0,0.36592849929623383,0.012066662912684914,0.5856336225586466
61,61.0,636.0,0.36372250301689374,0.011786369123542273,0.5856336225586466
62,62.0,645.6,0.3623219042093524,0.013907347723315516,0.5856336225586466
63,63.0,647.8,0.3619177778768997,0.013062396027359355,0.5856336225586466
64,64.0,643.8,0.36394978344481393,0.011874824954783505,0.5856336225586466
65,65.0,647.6,0.3615242597485423,0.01199411932431703,0.5856336225586466
66,66.0,635.8,0.36437596934452104,0.013353102897905192,0.5856336225586466
