,AUC1,AUC2,AUC3,AUC4,AUC5
0,0.876946366782007,0.8667854756070394,0.8661171753174427,0.8565382044998886,0.8351525952327913
1,0.8806228373702422,0.8576520383158833,0.8407217643127646,0.8485186010247272,0.8471820004455336
2,0.8633217993079586,0.8667854756070394,0.8580975718422812,0.8529739362887058,0.8255736244152373
3,0.8741349480968859,0.5,0.8553129873022944,0.8643350412118512,0.8384940966807752
4,0.8393166089965398,0.8647805747382491,0.8592114056582757,0.8577634216974828,0.823345956783248
5,0.8791089965397925,0.8523056359991088,0.8569837380262865,0.8562040543550903,0.8304744932056137
6,0.8609429065743944,0.8592114056582758,0.8812653152149699,0.8964134551124971,0.8311427934952106
7,0.8788927335640139,0.8271329917576298,0.8503007351303186,0.8239028736912452,0.8527511695255068
8,0.8551038062283738,0.8612163065270662,0.8643350412118511,0.8494096680775228,0.8309200267320116
9,0.8695934256055363,0.8583203386054801,0.8549788371574961,0.8491869013143238,0.8449543328135444
