,AUC1,AUC2,AUC3,AUC4,AUC5
0,0.8560769896193772,0.8229004232568502,0.863332590777456,0.8407217643127645,0.8215638226776565
1,0.8547794117647058,0.8290265092448207,0.8523056359991089,0.8304744932056136,0.8216752060592559
2,0.8474264705882353,0.8452884829583427,0.8505235018935176,0.8338159946535977,0.8251280908888394
3,0.8695934256055364,0.8257963911784362,0.848741367787926,0.8266874582312319,0.8371574961015816
4,0.8547794117647058,0.8333704611271998,0.8416128313655602,0.8347070617063934,0.8281354421920251
5,0.8748918685121108,0.8165515705056805,0.8576520383158833,0.8331476943640009,0.8382713299175762
6,0.8677551903114187,0.8255736244152373,0.8569837380262866,0.8202272220984629,0.8379371797727779
7,0.8560769896193773,0.8047449320561373,0.829360659389619,0.8601024727110714,0.8464023167743373
8,0.8582396193771625,0.8404989975495657,0.8530853196703052,0.8349298284695923,0.8216752060592559
9,0.8475346020761247,0.8530853196703052,0.8731343283582089,0.8601024727110714,0.8432835820895522
