,gen,nEval,Avg Fitness,Avg Min,Avg Max
0,0.0,1000.0,0.13588596328753474,0.011658433214555664,0.4475450277457213
1,1.0,217.6,0.1817259525359623,0.02599417247057554,0.44649623800413024
2,2.0,207.8,0.2372077144430441,0.021271420894746783,0.4736517985790546
3,3.0,208.4,0.3011642068912138,0.01804159939025213,0.4900819169433646
4,4.0,204.6,0.34893031716189693,0.01691280554880683,0.5156376696884111
5,5.0,200.6,0.3810794754896626,0.016098618576895048,0.5156376696884111
6,6.0,219.6,0.4004403831739788,0.016141262122408486,0.5156376696884111
7,7.0,208.8,0.4157107209184517,0.018793223514604253,0.5179098093230348
8,8.0,204.8,0.42960711305200405,0.022138079252038118,0.5212707882011932
9,9.0,207.6,0.4399965441539959,0.01994477850664075,0.5259176903648365
10,10.0,210.6,0.45271860387415136,0.020939857837976465,0.5341832991257018
11,11.0,216.0,0.4588302220627834,0.02329372038994169,0.5353578367110733
12,12.0,216.8,0.4639493869304914,0.031036481742994816,0.5353578367110733
13,13.0,203.2,0.4716178851869989,0.031589614082240036,0.5389333936079391
14,14.0,210.2,0.46963130650480683,0.04731217015576071,0.5449799140886513
15,15.0,205.0,0.47690279927354123,0.034254134441475,0.5461287326810684
16,16.0,207.0,0.48157700339250287,0.043265667812263785,0.5461287326810684
17,17.0,218.6,0.479233667174087,0.04000065272884948,0.5461287326810684
18,18.0,212.8,0.4841285536973346,0.04791395662927869,0.5473380051425332
19,19.0,227.6,0.4829081320787864,0.042129023298307415,0.5522630393923442
20,20.0,215.8,0.49086295463249774,0.05696205441501998,0.5522630393923442
21,21.0,221.2,0.49091172133877115,0.057838124088921285,0.5522630393923442
22,22.0,194.4,0.4995439877715098,0.05570314187182809,0.5557608698861489
23,23.0,202.6,0.49799371740046466,0.07174567743764172,0.5656560810708212
24,24.0,211.6,0.4989172181961822,0.06453834882167152,0.5656560810708212
25,25.0,196.2,0.5003384825783612,0.06371700714015764,0.5656560810708212
26,26.0,206.2,0.49835727267004276,0.05370157890785282,0.5656560810708212
27,27.0,205.4,0.5024099959043637,0.04953620399052479,0.5656560810708212
28,28.0,206.4,0.5034877949037379,0.05192845522385542,0.5656560810708212
29,29.0,194.4,0.5079385529391568,0.03748250075079635,0.5656560810708212
30,30.0,211.6,0.5066883186949134,0.04585217178389212,0.5656560810708212
31,31.0,204.4,0.5111573361555684,0.08426893947062952,0.5656560810708212
32,32.0,187.8,0.5190128434471506,0.07567211036200194,0.5656560810708212
33,33.0,202.2,0.5166068508163434,0.0876075895387917,0.5656560810708212
34,34.0,209.4,0.5158183857161416,0.07962941345933214,0.5656560810708212
35,35.0,210.8,0.5123008835934548,0.08602481171039844,0.5656560810708212
36,36.0,220.6,0.5127240824519912,0.10559322191178058,0.5656560810708212
37,37.0,209.0,0.5134642765613189,0.09050998685684593,0.5656560810708212
38,38.0,203.6,0.5149603654395787,0.052184168868440226,0.5656560810708212
39,39.0,196.8,0.5156352173312901,0.0628791521568945,0.5715721085061009
40,40.0,204.6,0.5136531420247291,0.06566998978410808,0.5727639502601636
41,41.0,203.2,0.5162285489152258,0.09504661580654086,0.5727639502601636
42,42.0,202.4,0.5145928560725505,0.0890418636452597,0.5727639502601636
43,43.0,219.8,0.5106585683315364,0.06754250435293166,0.5727639502601636
44,44.0,211.8,0.5140450582679128,0.0687903236691502,0.5727639502601636
45,45.0,196.0,0.5191221394922676,0.12048408649173954,0.5727639502601636
46,46.0,212.0,0.5175977150746831,0.06418137257383112,0.5727639502601636
47,47.0,210.8,0.5173798875893363,0.08171332676175629,0.5727639502601636
48,48.0,213.8,0.5165180350721017,0.07296306419393155,0.5727639502601636
49,49.0,207.6,0.5189962526615309,0.08568492346095184,0.5727639502601636
50,50.0,218.0,0.5183901252406343,0.09360295674569433,0.5727639502601636
