,gen,nEval,Avg Fitness,Avg Min,Avg Max
0,0.0,1000.0,0.13552034547387906,0.01174147424346723,0.45083002012809087
1,1.0,839.4,0.20429973405253715,0.013737685674468198,0.4942545520192204
2,2.0,851.8,0.27547173742605924,0.01568314453757693,0.5178841852341135
3,3.0,830.0,0.31617744289835226,0.01277602310765576,0.5260207561447199
4,4.0,846.8,0.3391480911793661,0.01737604795142263,0.5484350377675873
5,5.0,841.2,0.34917905529151144,0.02272216085094752,0.5557603953659838
6,6.0,845.2,0.3587022410480189,0.02921179880682432,0.5557252176044029
7,7.0,837.6,0.36168936421046594,0.03234784985422741,0.5592057439295163
8,8.0,830.8,0.36218646867787296,0.04583936501187776,0.564043055218119
9,9.0,840.6,0.359035135539831,0.046841488331443686,0.5689680894679301
10,10.0,834.6,0.36620247224478825,0.03855476869567271,0.5689680894679301
11,11.0,845.0,0.36512082915228344,0.0557566835638025,0.5738227681945794
12,12.0,847.6,0.3599182640333539,0.056598925222370686,0.5814238220089624
13,13.0,831.0,0.3710194836398101,0.060048871359059494,0.5877733710671769
14,14.0,853.2,0.36569935531690356,0.05740977473578718,0.5865465413595994
15,15.0,833.8,0.3708332875474098,0.062352624581578676,0.5853285060924172
16,16.0,839.6,0.36635045784869,0.06288118732115863,0.5853285060924172
17,17.0,836.2,0.36801128501747915,0.06297828469185295,0.5865465413595994
18,18.0,840.0,0.36990678835894475,0.0642580497600826,0.5865465413595994
19,19.0,846.0,0.3629566593421843,0.06483027362730806,0.5853285060924172
20,20.0,845.8,0.36880630372095513,0.0637201706079257,0.5853285060924172
21,21.0,845.6,0.3680325589480583,0.06456477959487365,0.587790991582645
22,22.0,850.8,0.36751570055415517,0.06570356999446604,0.587790991582645
23,23.0,836.4,0.3668825011515022,0.06706071875674872,0.587790991582645
24,24.0,849.4,0.3685394671549795,0.054099717143801976,0.587790991582645
25,25.0,848.2,0.3692677864129903,0.06323398779154518,0.587790991582645
26,26.0,834.8,0.374192815153095,0.053556243926141875,0.5890090268498273
27,27.0,848.0,0.3663216620195325,0.06696783407063221,0.5890090268498273
28,28.0,851.2,0.3695899652324347,0.06527566879926573,0.5890090268498273
29,29.0,848.8,0.3730325389760319,0.0676554612420365,0.5890090268498273
30,30.0,846.2,0.37012047893003924,0.06461008572575855,0.5799836480351069
31,31.0,842.2,0.3743609925496116,0.06359969521042545,0.5825172482807608
32,32.0,826.2,0.3765001650855655,0.06528756871051991,0.5799836480351069
33,33.0,837.2,0.37468881637166274,0.05128091446151874,0.5799836480351069
34,34.0,841.2,0.36938222101588647,0.06692538560563113,0.5799836480351069
35,35.0,840.8,0.3697330723736047,0.0688587072974031,0.5799836480351069
36,36.0,835.2,0.36569471117750174,0.05946376163312546,0.5799836480351069
37,37.0,841.8,0.36808294339902375,0.06480759156341107,0.5799836480351069
38,38.0,834.6,0.3711130814770104,0.07016536711410755,0.5799836480351069
39,39.0,846.2,0.37195725910403843,0.07190298614485477,0.581245971851042
40,40.0,839.2,0.3716282268636621,0.054278120908581695,0.581245971851042
41,41.0,849.0,0.3731988832800605,0.0659816335388322,0.581245971851042
42,42.0,846.4,0.37382223869861686,0.06467491045277238,0.581245971851042
43,43.0,831.4,0.37660360391738534,0.06422998980097991,0.580001458358641
44,44.0,834.6,0.3784472456846081,0.06325429198216985,0.581245971851042
45,45.0,851.8,0.37418860368645224,0.06953756639064355,0.581245971851042
46,46.0,838.0,0.37505830225226255,0.06776479068810064,0.5837975089589407
47,47.0,838.0,0.372277276078152,0.05730162631768978,0.5837975089589407
48,48.0,859.4,0.36368077140423377,0.06825098932182,0.5837975089589407
49,49.0,836.8,0.374309421371165,0.058159474417247045,0.5825529954665398
50,50.0,833.2,0.37864190576156054,0.07208173789108897,0.5825529954665398
